"TOA5","CR1000XLagunaPiedra","CR1000X","22185","CR1000X.Std.04.02","CPU:FuentePiedraV3.1.CR1X","57757","flux"
"TIMESTAMP","RECORD","Ux_rmy_Avg","Uy_rmy_Avg","Uz_rmy_Avg","Ts_rmy_Avg","diag_rmy_Avg","CO2_Avg","H2O_Avg","press_Avg","diag_irga_Avg","rh_hmp_Avg","t_hmp_Avg","e_hmp_Avg","panel_temp_raw_Avg","batt_volt_Avg","Rn_meas_Avg","Par_i_Avg","Par_r_Avg","Tsoil_Avg(1)","Tsoil_Avg(2)","Tsoil_Avg(3)","shf_Avg","n_nnd_Tot","n_NaN_Tot","num_Tot"
"TS","RN","m/s","m/s","m/s","C","unitless","mmol/m^3","mmol/m^3","kPa","unitless","percent","C","kPa","C","V","W/m^2","mV","mV","C","C","C","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Tot","Tot"
"2022-02-22 23:30:00",5739,-0.749495,-0.008033333,0.07397667,9.313511,0,17.14728,265.7419,97.41956,247.0409,47.28173,12.96389,0.7067938,8.054597,11.7227,-52.51639,-0.01266045,-10573.61,10.50184,9.569251,13.74424,-71.84563,0,0,18000
"2022-02-23 00:00:00",5740,-0.8394039,0.2544611,0.09583388,9.522202,0,17.12765,276.1245,97.3912,247.5159,48.66576,13.23526,0.7405165,8.082276,11.69305,-51.31638,0.07953312,-10578.36,10.2858,9.440725,13.33003,-74.86178,0,0,18000
"2022-02-23 00:30:00",5741,0.6198128,-2.763013,-0.02962889,10.52758,0,17.02136,304.2595,97.36658,247.8614,51.01392,14.09392,0.8199989,8.557207,11.67041,-29.01027,0.0785222,-10627.31,10.17004,9.508442,12.98369,-76.0591,0,0,18000
"2022-02-23 01:00:00",5742,-0.3189272,-4.763324,0.05327278,11.54092,0,16.94244,307.4829,97.34605,248,48.49479,15.04184,0.828603,10.40626,11.64963,-34.18205,0.08177005,-10624.04,10.24081,9.975438,12.75775,-75.02483,0,0,18000
"2022-02-23 01:30:00",5743,0.3046639,-5.198084,0.02922389,11.58227,0,16.90969,310.6628,97.32728,248,48.65007,15.08225,0.8334532,11.7816,11.62656,-31.5046,0.05487376,-10634.45,10.31851,10.13904,12.64154,-68.44297,0,0,18000
"2022-02-23 02:00:00",5744,1.393395,-6.152008,-0.04610944,11.61305,0,16.90431,301.8414,97.31696,248,47.19679,15.12984,0.8107986,12.34083,11.60457,-21.8396,0.02686512,-10656.55,10.39191,10.3175,12.545,-66.55682,0,0,18000
"2022-02-23 02:30:00",5745,1.10832,-5.919584,-0.002733889,11.65407,0,16.91264,301.1051,97.29044,248,46.59187,15.18113,0.8032165,12.6533,11.58039,-23.68062,0.01932169,-10652.21,10.44664,10.40241,12.46688,-64.58125,0,0,18000
"2022-02-23 03:00:00",5746,2.12903,-5.725264,-0.08474667,11.38642,0,16.90551,320.794,97.26288,248,50.56569,14.91096,0.8564639,12.7431,11.54903,-23.71976,0.0522884,-10654.37,10.48365,10.44781,12.39297,-61.69018,0,0,18000
"2022-02-23 03:30:00",5747,2.085921,-7.896848,-0.07720777,10.86676,0,16.91903,355.6094,97.23178,248,57.74006,14.42818,0.9480054,12.50668,11.53308,-27.80071,0.1064112,-10645.83,10.51254,10.43179,12.30585,-58.13792,0,0,18000
"2022-02-23 04:00:00",5748,1.890162,-7.439123,-0.05594166,10.40012,0,16.95168,375.8611,97.21418,248,63.54131,13.96538,1.01279,12.09332,11.5018,-26.60646,0.1082334,-10647.55,10.52212,10.38037,12.1862,-54.38625,0,0,18000
"2022-02-23 04:30:00",5749,1.62706,-6.357431,-0.03090833,10.43223,0,16.93569,376.2727,97.20773,248,63.81449,13.97912,1.018049,11.83663,11.47544,-22.73446,0.04701869,-10653.83,10.48964,10.33935,12.04835,-52.34056,0,0,18000
"2022-02-23 05:00:00",5750,0.6989284,-5.664395,0.02927111,10.62094,0,16.90874,361.6224,97.2234,248,61.21869,14.15354,0.9877595,11.81994,11.45447,-25.36119,0.0348368,-10647.33,10.47301,10.30033,11.92943,-50.82006,0,0,18000
"2022-02-23 05:30:00",5751,-0.1777822,-5.167125,0.08775777,10.55282,0,16.92634,328.5255,97.23482,248,55.84252,14.13844,0.9001577,11.75722,11.42613,-30.87016,0.03827706,-10635.36,10.36121,10.09513,11.8112,-49.20318,0,0,18000
"2022-02-23 06:00:00",5752,-0.1909944,-6.59712,0.06282444,10.3875,0,16.92945,334.0896,97.23126,248,57.25952,13.99148,0.9124156,11.56095,11.40501,-29.73207,-0.006032079,-10640.34,10.21639,9.976578,11.67353,-50.01119,0,0,18000
"2022-02-23 06:30:00",5753,2.784259,-6.804177,-0.1562278,11.28905,0,16.87353,279.899,97.19608,248,44.75503,14.89498,0.7571676,11.88139,11.38403,-16.82083,0.03355238,-10666.82,10.16024,9.999997,11.56259,-54.7834,0,0,18000
"2022-02-23 07:00:00",5754,2.049676,-4.548357,-0.1243683,10.78478,0,16.91249,299.989,97.21075,248,48.95122,14.41612,0.802902,12.16152,11.36029,-26.37258,1.079654,-10648.21,10.13208,9.888059,11.50609,-57.33451,0,0,18000
"2022-02-23 07:30:00",5755,0.4639589,0.1077094,0.04234777,9.77752,0,17.00321,317.9521,97.22517,248,55.58597,13.43955,0.8561876,11.5295,11.37219,-53.2267,25.83167,-10588.57,9.979184,9.464915,11.38891,-55.32375,0,0,18000
